Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Finland,FIN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,10347724357.130913,100811675683.69557,426781596915.1399,429278546771.62384,11193778916.09061,9111918454.742735,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,11018167863.045715,21503990479.962574,15792501208.833517,11.0,11.7,12.6,13.0,13.6,13.8,13.1,13.7,13.2,11.8,12.8,12.4,11.6,11.5,12.0,11.6,12.2,44536878071.21788
Finland,FIN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,44536878071.21788
Finland,FIN,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,44536878071.21788
Finland,FIN,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,44536878071.21788
Finland,FIN,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,44536878071.21788
Finland,FIN,Prevalence of moderate or severe food insecurity in the population (%),SN.ITK.MSFI.ZS,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,9.3,8.4,8.3,7.7,8.0,44536878071.21788
Finland,FIN,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,9.3,8.4,8.3,7.7,8.0,44536878071.21788
Finland,FIN,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,0.0,21503990479.962574,15792501208.833517,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,9.3,8.4,8.3,7.7,8.0,44536878071.21788
Finland,FIN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,10347724357.130913,0.0,426781596915.1399,429278546771.62384,11193778916.09061,0.0,16652451327.662117,16700408504.849026,19933871789.283005,21557381190.290684,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,7.7,8.0,44536878071.21788
Finland,FIN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,6.7,6.4,6.1,5.8,5.5,5.2,4.9,4.7,4.6,4.4,4.3,4.2,4.1,4.0,3.9,3.7,3.6,3.5,3.3,3.2,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.4,2.4,2.3,2.3
