Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Finland,FIN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,10.9422550918683,10.9963221068504,10.3690168488962,10.5521285429414,11.7774524583985,10.9817553188365,12.2106563805414,11.7949311602415,11.1119864604585,10.9399253582537,10.6443731309922,11.7748661914168,12.1985394756526,13.7555932134462,12.9458059145721,10.5717089431837,12.7272102369268,12.3097271173365,10.6636260517985,10.148381558573,11.6580824827459,10.2302556366865,9.12603706225985,9.2280857485569,8.45218320494398,7.81369792414716,8.31624752993602,7.80931895529113,8.04918842721228,7.42303960115952,6.57014512772575,..,..,..
Finland,FIN,Forest area (sq. km),AG.LND.FRST.K2,218753.3,219323.61,219893.92,220464.23,221034.54,221604.85,222175.16,222745.47,223315.78,223886.09,224456.4,224252.76,224049.12,223845.48,223641.84,223438.2,223234.56,223030.92,222827.28,222623.64,222420,222754,223088,223422,223756,224090,224090,224090,224090,224090,224090,224090,..,..
Finland,FIN,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,0.852151683,1.0856856522,1.3100794236,1.5258592997,1.7335119376,1.9334880124,1.9334880124,1.9334880124,1.9334880124,1.9334880124,2.1307541485,2.1486143182,2.1667764299,2.1839596323,2.2014175495,2.2191568224,1.2468482447,4.9901732628,6.3582929969,7.7139912102,9.0574363056,10.3887936556,11.6612675058,12.9123632536,14.2776858134,15.547024952,17.3913043478,17.3913043478,14.2857142857,28.5714285714,28.5714285714,..,..,..
Finland,FIN,"Electricity production from renewable sources, excluding hydroelectric (% of total)",EG.ELC.RNWX.ZS,9.48195008919212,8.62277101369296,8.58033780857514,9.7627662535405,9.86271731346467,10.3380963535566,8.50619116947516,11.433156007864,13.3353285732609,12.1125300545661,12.4599862810106,11.1994200252396,12.0792475485291,11.234969048692,12.3024054982818,13.7202119520558,13.3297696569152,12.4881531171149,13.7785411716086,12.5060705712581,13.9735230681508,15.9589665446729,16.6181420516681,17.9505171421755,18.90621787529,20.0533551029928,..,..,..,..,..,..,..,..
Finland,FIN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.8131707317073,75.2275609756098,75.4553658536585,75.7051219512195,76.3956097560976,76.409512195122,76.6934146341464,76.8785365853659,77.0907317073171,77.2912195121951,77.4658536585366,77.9658536585366,78.119512195122,78.3682926829268,78.7146341463415,78.8170731707317,79.2146341463415,79.2634146341464,79.5682926829268,79.719512195122,79.8707317073171,80.4707317073171,80.6268292682927,80.9756097560976,81.1804878048781,81.4804878048781,81.4292682926829,81.6317073170732,81.7341463414634,81.9829268292683,81.9317073170732,81.8853658536585,81.1878048780488,..
Finland,FIN,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Finland,FIN,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..,..,..,..,..,99.4482020506084,99.4481856184533,99.4481765547326,99.4481700460466,99.4481595869354,99.4481483410373,99.4481371864477,99.4481294849787,99.4481142034914,99.4481061780891,99.448080130139,99.4480446005614,99.4480129972437,99.4479910161812,99.4479877733853,99.4479823694262,99.4479736564842,99.4479764406232,99.4479659817921,99.4479650642653,99.4479578426541,99.4479537134785,99.4479470760581,..
Finland,FIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.04820271350203,3.07148951684672,3.09393606381124,2.56582070242302,2.88887273041708,2.85829344610932,2.9855298393463,2.70431040814173,2.19266564982606,2.76837187403869,2.85923539795244,3.00693764122126,2.53817086908605,1.97583382585308,2.83083413396846,2.26836426727736,2.25967222789725,2.43916781644752,2.50312867558803,2.24768979633121,2.2001496661133,2.04151097052318,1.64392918654967,1.6363688680639,1.61129680187797,1.49649755696774,1.34662512995387,1.21638168386984,1.5592531612498,1.46698296751276,1.64572794344772,..,..,..
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,141438345513.917,127773856785.767,112532519246.084,89214114708.0254,103299943084.804,134189814814.815,132129174216.93,126912152101.707,134038718291.055,135264083658.688,126019543413.334,129533107311.811,140404460203.138,171652458349.411,197479443979.151,204885494686.381,217089269791.764,256378067752.158,285716311136.719,253497520828.515,249424310816.667,275604356167.316,258290060227.734,271362405890.589,274862826772.156,234534382384.766,240771351298.833,255647979916.471,275708001767.843,268514916972.549,271886077382.102,296470417085.267,281887430795.721,300187202696.084
Finland,FIN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,3.069,6.503,11.595,16.201,16.426,17.005,15.572,14.968,13.215,11.693,11.135,10.291,10.423,10.469,10.358,9.602,8.935,6.854,6.369,8.25,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617,6.719,7.151
